"","x"
"1","Abbottabad"
"2","Ahmadupr East"
"3","Ahmedpur Sial"
"4","Alai"
"5","Alipur"
"6","Alpuri"
"7","Ambar Utman Khel"
"8","Arif Wala"
"9","Attock"
"10","Awaran"
"11","Baba Kot"
"12","Babuzai"
"13","Badin"
"14","Badinai"
"15","Bahawalnagar"
"16","Bahawalpur"
"17","Bahrain"
"18","Bakrani"
"19","Balakot"
"20","Balnigor"
"21","Banda Daud Shah"
"22","Bannu"
"23","Bar Chamarkand"
"24","Bara"
"25","Barang"
"26","Barawal"
"27","Barikot"
"28","Barkhan"
"29","Barshore"
"30","Batagram"
"31","Bela"
"32","Besima"
"33","Bettani"
"34","Bhag"
"35","Bhakkar"
"36","Bhalwal"
"37","Bhiria"
"38","Birmal"
"39","Bisham"
"40","Buleda"
"41","Bulri Shah Karim"
"42","Burewala"
"43","Central Kurram"
"44","Central Orakzai"
"45","Chachro"
"46","Chagai"
"47","Chagharzai"
"48","Chak Jhumra"
"49","Chakwal"
"50","Chaman"
"51","Chamla"
"52","Charbagh"
"53","Charsadda"
"54","Chattar"
"55","Chaubara"
"56","Chichawatni"
"57","Chiksar"
"58","Chiniot"
"59","Chishtian"
"60","Chitral"
"61","Choa Saidan Shah"
"62","Chunian"
"63","Dadu"
"64","Daggar"
"65","Daharki"
"66","Dalbandin"
"67","Daraban"
"68","Darra Adam Khel"
"69","Darya Khan"
"70","Dasht (Kech)"
"71","Dasht (Mastung)"
"72","Daska"
"73","Dassu"
"74","Data Khel"
"75","Daur"
"76","De- Excluded Area Rajanpur"
"77","De-excluded Area D.G.Khan"
"78","Depalpur"
"79","Dera Bugti"
"80","Dera Ghazi Khan"
"81","Dera Ismail Khan"
"82","Dera Murad Jamali"
"83","Digri"
"84","Dina"
"85","Diplo"
"86","Dir"
"87","Dokri"
"88","Domel"
"89","Dossali"
"90","Drazanda"
"91","Duki"
"92","Dunyapur"
"93","Dureji"
"94","Faisalabad City"
"95","Faisalabad Saddar"
"96","Faiz Ganj"
"97","Fateh Jang"
"98","Ferozewala"
"99","Fort Abbas"
"100","Gaddani"
"101","Gagra"
"102","Gambat"
"103","Gandakha"
"104","Gandawa"
"105","Garhi Khairo"
"106","Garhi Yasin"
"107","Garyum"
"108","Ghazi"
"109","Ghorabari"
"110","Ghotki"
"111","Ghulam Khan"
"112","Gichk"
"113","Gojra"
"114","Gujar Khan"
"115","Gujranwala"
"116","Gujrat"
"117","Gwadar"
"118","Hafizabad"
"119","Hala"
"120","Halimzai"
"121","Hangu"
"122","Haripur"
"123","Harnai"
"124","Haroonabad"
"125","Hasilpur"
"126","Hassan Abdal"
"127","Hassan Khel"
"128","Hazro"
"129","Hub"
"130","Hyderabad"
"131","Hyderabad City"
"132","Isakhel"
"133","Islamabad"
"134","Ismailzai"
"135","Jacobabad"
"136","Jahanian"
"137","Jalalpur Pirwala"
"138","Jampur"
"139","Jamrud"
"140","Jan Nawaz Ali"
"141","Jand"
"142","Jandola"
"143","Jaranwala"
"144","Jati"
"145","Jatoi"
"146","Jhal Jao"
"147","Jhal Magsi"
"148","Jhang"
"149","Jhat Pat"
"150","Jhelum"
"151","Jhuddo"
"152","Jiwani"
"153","Johi"
"154","Kabal"
"155","Kabirwala"
"156","Kahan"
"157","Kahror Pacca"
"158","Kahuta"
"159","Kairpur Tamewali"
"160","Kakar Khurasan"
"161","Kalam"
"162","Kalat"
"163","Kalkot"
"164","Kallar Kahar"
"165","Kallar Sayedan"
"166","Kalurkot"
"167","Kamalia"
"168","Kambar Ali Khan"
"169","Kamoke"
"170","Kan Mehtarzai"
"171","Kandiaro"
"172","Kanhdkot"
"173","Kanraj"
"174","Karachi Central"
"175","Karachi East"
"176","Karachi South"
"177","Karachi West"
"178","Karak"
"179","Karezat"
"180","Karor Lal Esan"
"181","Kashmore"
"182","Kasur"
"183","Katlang"
"184","Kazi Ahmed"
"185","Kech"
"186","Keti Bander"
"187","Khairpur"
"188","Khairpur Nathan Shah"
"189","Khanewal"
"190","Khangarh"
"191","Khanpur (Rahim Yar Khan)"
"192","Khanpur (Shikarpur)"
"193","Khar"
"194","Kharan"
"195","Kharian"
"196","Kharochan"
"197","Khipro"
"198","Khushab"
"199","Khuzdar"
"200","Khwazakhela"
"201","Killa Abdullah"
"202","Killa Saifullah"
"203","Kingri"
"204","Kohat"
"205","Kohlu"
"206","Kot Addu"
"207","Kot Diji"
"208","Kot Ghulam Muhammad"
"209","Kot Momin"
"210","Kotli Sattian"
"211","Kotri"
"212","Kulachi"
"213","Kunri"
"214","Kut Mandai"
"215","Lachi"
"216","Ladha"
"217","Lahor"
"218","Lahore Cantt"
"219","Lahore City"
"220","Lakhi"
"221","Lakhra"
"222","Lakki Marwat"
"223","Landi Kotal"
"224","Larkana"
"225","Latifabad"
"226","Layyah"
"227","Lehri"
"228","Liaquatpur"
"229","Liari"
"230","Lodhran"
"231","Loi Band"
"232","Loralai"
"233","Lower Kurram"
"234","Lower Orakzai"
"235","Mach"
"236","Mailsi"
"237","Makin"
"238","Malakwal"
"239","Malir"
"240","Mamund"
"241","Mand"
"242","Mandi Bahauddin"
"243","Manjhand"
"244","Mankera"
"245","Mansehra"
"246","Mardan"
"247","Martung"
"248","Mashkai"
"249","Mashkhel"
"250","Mastuj"
"251","Mastung"
"252","Matiari"
"253","Matli"
"254","Matta Khararai"
"255","Matta Sebujni"
"256","Mawand"
"257","Mehar"
"258","Mian Channu"
"259","Mianwali"
"260","Minchinabad"
"261","Mir Ali"
"262","Miran Shah"
"263","Miro Khan"
"264","Mirpur Bathoro"
"265","Mirpur Khas"
"266","Mirpur Mathelo"
"267","Mirpur Sakro"
"268","Mirwah"
"269","Mithi"
"270","Moro"
"271","Multan City"
"272","Multan Saddar"
"273","Muridke"
"274","Murree"
"275","Musakhel"
"276","Muslim Bagh"
"277","Muzaffargarh"
"278","Nag"
"279","Nagarparkar"
"280","Nal"
"281","Nankana Sahib"
"282","Nara"
"283","Narowal"
"284","Naushahro Feroze"
"285","Nawabshah"
"286","Nawagai"
"287","Nowshera"
"288","Nowshera Virkan"
"289","Nurpur"
"290","Nushki"
"291","Oghi"
"292","Okara"
"293","Ormara"
"294","Pabbi"
"295","Paharpur"
"296","Pakpattan"
"297","Palas"
"298","Panjgur"
"299","Panjpai"
"300","Pano Aqil"
"301","Parome"
"302","Pasni"
"303","Pasrur"
"304","Pattan"
"305","Pattoki"
"306","Peshawar"
"307","Phalia"
"308","Phelawagh"
"309","Pind Dadan Khan"
"310","Pindi Bhattian"
"311","Pindi Gheb"
"312","Pindiali"
"313","Piplan"
"314","Pir Baba/ Gadaizi"
"315","Pishin"
"316","Pithoro"
"317","Prang Ghar"
"318","Puran"
"319","Qasimabad"
"320","Quaidabad"
"321","Qubo Saeed Khan"
"322","Quetta City"
"323","Rahim Yar Khan"
"324","Rajanpur"
"325","Ratodero"
"326","Rawalpindi"
"327","Razmak"
"328","Renala Khurd"
"329","Rohri"
"330","Rojhan"
"331","Sadiqabad"
"332","Safdarabad"
"333","Safi"
"334","Sahiwal (Sahiwal)"
"335","Sahiwal (Sardogha)"
"336","Sakrand"
"337","Salarzai Tehsil"
"338","Salehpat"
"339","Sam Ranizai"
"340","Samar Bagh"
"341","Samaro"
"342","Sambrial"
"343","Sangan"
"344","Sanghar"
"345","Sangla Hill"
"346","Sanni"
"347","Sarai Alamgir"
"348","Sarai Naurang"
"349","Sararogha"
"350","Sargodha"
"351","Sehwan"
"352","Serwekai"
"353","Shah Bander"
"354","Shahdadkot"
"355","Shahdadpur"
"356","Shaheed Fazal Rahu"
"357","Shahkot"
"358","Shahpur"
"359","Shakargarh"
"360","Sharqpur"
"361","Sheerani"
"362","Sheikhupura"
"363","Shewa"
"364","Shikarpur"
"365","Shinkai"
"366","Shorkot"
"367","Shuabad"
"368","Sialkot"
"369","Sibi"
"370","Sillanwali"
"371","Sinjawi"
"372","Sinjhoro"
"373","Sobodhero"
"374","Sohawa"
"375","Sohbatpur"
"376","Sonmiani"
"377","Spinwam"
"378","Sui"
"379","Sujawal"
"380","Sukkur"
"381","Summundari"
"382","Surab"
"383","Swabi"
"384","Swat Ranizai"
"385","Taftan"
"386","Takht Bhai"
"387","Takht E Nasrati"
"388","Talagang"
"389","Tall"
"390","Tamboo"
"391","Tandlianwala"
"392","Tando Adam"
"393","Tando Allah Yar"
"394","Tando Bago"
"395","Tando Ghulam Hyder"
"396","Tando Muhammad Khan"
"397","Tangi"
"398","Tangwani"
"399","Tank"
"400","Taunsa"
"401","Taxila"
"402","Thano Bula Khan"
"403","Thatta"
"404","Thul"
"405","Tiarza"
"406","Timergara"
"407","Toba Tek Singh"
"408","Toi Khulla"
"409","Topi"
"410","Tor Ghar"
"411","Totalai"
"412","Tump"
"413","Ubauro"
"414","Umerkot"
"415","Upper Kurram"
"416","Upper Momand"
"417","Upper Orakzai"
"418","Usta Muhammad"
"419","Uthal"
"420","Utman Khel Tehsil"
"421","Vehari"
"422","Wadh"
"423","Wana"
"424","Warah"
"425","Wari"
"426","Washuk"
"427","Wazir"
"428","Wazirabad"
"429","Yaka Ghund"
"430","Yazman"
"431","Zehri"
"432","Zhob"
"433","Ziarat"
